Demand,Normalized_net,Temperature
731.6025693,0.530719502,2
686.922621,0.498307751,5
696.9948759,0.505614372,6
644.48725,0.467524263,7
630.1354847,0.457113199,8
632.5990556,0.458900323,8
643.3662362,0.466711057,7
679.1100775,0.492640372,5
738.2994728,0.535577573,3
819,0.59411939,2
849.6,0.616317257,2
847.9,0.615084042,2
817.9,0.593321427,2
777.9,0.564304607,2
710.7,0.51555635,2
650.8,0.472103662,3
604.8,0.438734319,3
576.1,0.41791475,3
565.4,0.410152751,3
557.7,0.404567013,3
562.3,0.407903947,4
596.5,0.432713328,4
678.8,0.492415436,4
730.8403211,0.530166551,5
752.5773038,0.545935004,7
757.8874457,0.54978709,9
764.2915654,0.55443277,10
732.054675,0.531047469,11
675.8256544,0.490257784,12
638.8722151,0.463451002,13
656.719884,0.476398067,12
699.2244567,0.507231755,11
751.1097051,0.544870378,10
816.8,0.592523465,10
852.9,0.618711145,9
842.7,0.611311856,8
821.1,0.595642773,5
786.3,0.570398139,3
729.5,0.529194255,1
674.4,0.489223585,0
637.4,0.462383027,0
610.9,0.443159384,0
609.7,0.442288879,0
604.7,0.438661777,0
620.8,0.450341047,-1
647.6,0.469782316,-2
727.4,0.527670872,-1
765.925065,0.555617744,0
734.1155034,0.532542436,1
724.0285136,0.525225127,2
710.2753139,0.515248274,3
744.8450989,0.540325904,4
704.0402546,0.510725234,3
732.5071232,0.531375684,2
690.0836077,0.500600796,1
731.0123324,0.530291332,0
824.1607095,0.597863074,0
873.5,0.633654807,0
901.8,0.654184207,-1
